seqname	dsDNAphage	NCLDV	RNA	ssDNA	lavidaviridae
b7640ba5-d7c1-4662-a9d6-9503b2f16a9e	0.693	0.920	0.255	0.873	1.000
4d22de08-c327-43df-8ab3-f61ac34dcc2e	0.980	0.400	0.320	0.953	0.907
1a824adb-2fe5-4e78-8258-a0eeb26a3a63	0.513	0.880	0.280	0.953	0.993
f050a9f2-e6d2-48aa-8965-524ce2937970	0.500	0.727	0.190	0.127	0.133
c885fc7c-1bf6-4595-a88f-cd8a1053cab1	0.900	0.753	0.240	0.953	0.660
4377d4a0-b19c-4908-a30e-b354774263e5	0.653	0.913	0.260	0.620	0.220
8b705d25-9333-4b27-9682-88a6dcfcceb4	0.613	0.280	0.425	0.760	0.960
902535e9-26b9-427e-9d17-f55ae695c758	0.820	0.260	0.150	0.833	0.500
9e0ad1b3-56c8-4e5c-b7b5-410dce5c66a0	0.960	0.493	0.060	0.540	0.660
17afdd22-d1a5-468e-8f70-875c5e1e7c26	0.887	0.507	0.160	0.860	0.800
8f042efb-985a-4812-ad11-db7a75c03f1a	0.800	0.327	0.365	1.000	0.800
72dab076-73f8-4e3e-a3ef-b4593260b732	0.913	0.553	0.300	0.973	0.933
4e4a6057-be3b-45ef-8bb9-2a986193bd91	0.940	0.473	0.380	0.860	0.760
352b422e-b504-4e95-98e8-337bdd38eeec	0.893	0.207	0.230	0.940	0.640
fee24001-8fed-4d7e-a261-f37db79659c6	0.680	0.367	0.425	0.900	0.767
1bd86929-a38a-48a4-a962-4bcd356e32a0	1.000	0.467	0.360	0.893	0.940
e3b9801b-6d1c-41c4-94ef-4b3fa6c94180	0.633	0.353	0.170	0.873	0.507
3d3ebce7-a9b0-419e-b741-d932dc4097e2	0.373	0.993	0.735	1.000	1.000
87feb58f-599d-47fa-8719-f795786ddc9b	0.900	0.687	0.250	0.920	0.573
5198baf7-7def-44c7-aa52-a75b75b6f110	0.940	0.273	0.340	1.000	0.847
35d8166e-b8b2-4db9-8070-d0119067e33e	0.520	0.280	0.590	0.947	0.813
2a3a6392-f0fa-4bd0-985d-c2f4ab0a5543	0.807	0.967	0.150	0.773	0.980
0c37483a-e27c-430d-8a9a-fc27f1314de6	0.873	0.867	0.210	0.980	0.900
101aad20-8b76-43e5-b778-1b2c37517857	0.900	0.620	0.560	0.993	0.953
98d48010-3384-4bf5-b433-2949aefc533e	0.967	0.960	0.160	0.993	0.900
74bdcca2-e2c2-40bd-989c-e6e8596a9d69	1.000	0.567	0.125	0.720	0.647
eff4f45f-81fa-466a-a22b-eca1353fc1e1	1.000	0.607	0.180	0.547	0.920
f2bf45d0-dc90-4ef3-b3f0-22562f88416c	1.000	0.300	0.330	0.407	0.987
7a538dc9-91de-4760-a0b1-1fc3504758cf	0.920	1.000	0.140	1.000	0.347
2204a293-4ab8-4b43-b304-421305fcaf1e	0.913	0.413	0.560	0.980	0.180
d507e2f3-7304-40eb-9e67-7db93d1d72a9	0.960	0.253	0.145	0.987	0.473
a4ef78f8-46d1-4e23-8981-608cfccd8b77	0.813	0.627	0.825	0.980	0.667
21da37a3-b822-41e5-a829-8d8a73e5e22c	0.940	0.707	0.370	0.987	0.867
b07f8e78-36c6-48b8-b427-f0e3916c3d66	0.927	0.307	0.220	0.733	0.607
b667e0c0-140e-4f89-af1e-1616c84c86d2	0.933	0.640	0.180	0.947	0.180
b7c98c7a-cd79-4e1b-a120-97e65c85ee5d	0.993	0.533	0.170	0.987	0.960
90034f67-7782-4ca7-9672-a8d2d0582063	1.000	0.240	0.505	0.867	0.793
9c400a3e-c005-48c3-9145-8748af8aa4b1	0.967	0.253	0.225	0.707	0.460
08aaaf05-c2ce-4d9b-bc1c-f25b76ed4915	0.753	0.947	0.295	1.000	0.827
11dc0817-2c9e-482e-9421-44ea457b69b8	1.000	0.580	0.340	0.793	0.573
9f1735c8-0f36-430d-ad6b-4a33c3d2dfe0	0.927	0.513	0.305	0.987	0.933
c4bc36f7-9fa4-4da1-a114-edd7c890774b	1.000	0.593	0.255	1.000	0.780
ae1bc89d-5e8e-4ecc-b3ff-686cf2a34902	0.987	0.520	0.200	0.527	0.827
4ffcca6d-38ea-4bd6-becd-831f46f35de0	0.847	0.233	0.610	0.953	0.393
6f32964d-b076-4999-9e71-618f3675d19e	0.880	0.680	0.125	0.987	0.853
07bbd409-3910-4785-b7ee-8d6933d1b876	0.807	0.987	0.165	1.000	0.947
b410f648-fa50-43d0-9e0c-22535617a327	0.740	0.193	0.510	0.960	0.773
470c9e5d-ca9f-42a1-a355-aeb9b90d827e	0.980	0.233	0.585	0.853	0.820
c3d6c313-a7c7-4716-9e6d-d073dd0aff2f	0.953	0.533	0.115	0.993	0.220
39c47609-9d26-4145-a612-40427a116e91	0.973	0.687	0.135	1.000	0.547
655d3858-e488-420c-bf3d-8a799adb3df0	0.947	0.567	0.205	0.180	0.960
742c1bcf-6170-43ee-9286-0f28140ca138	0.873	0.273	0.350	0.993	0.687
50b58b20-b08e-4735-a8df-15ec7ee13438	0.147	0.187	0.470	0.367	0.160
af80fedb-bf04-425b-baff-1cfba323fb98	0.913	0.147	0.440	0.973	0.687
a9bd0a72-323a-4169-bcde-34eee685000e	0.960	1.000	0.140	0.960	0.993
9ff3ab34-e67b-4e0a-b582-af442c720ca8	0.767	0.173	0.390	0.907	0.653
0a6c5718-4627-48e5-8399-6ce7afc2205f	1.000	0.213	0.195	0.820	0.560
de9764ac-61bf-432d-b751-a13ae8b194a0	0.973	0.553	0.155	0.873	0.880
bf671b5d-f790-49eb-acbb-17d9e8b56030	0.947	0.920	0.145	0.953	0.440
4b80fd04-c459-4d8d-9506-1ec450cbca19	0.907	0.920	0.545	0.980	0.933
ccd5bacc-c615-4be3-84da-0867960cabda	0.913	0.220	0.425	0.927	0.807
e5e956f3-72fe-471c-9f63-bb1fe836da50	0.033	0.173	0.870	0.613	0.387
1847ed73-609f-402d-90ae-1302cc5c8756	0.387	0.780	0.595	0.973	0.967
09e31fac-2277-4d3f-b00b-4c31231f6e2c	0.327	0.560	0.490	0.873	0.793
04ba1806-dff3-4f99-b0be-445fdb7bd0bf	0.747	0.380	0.715	0.880	0.680
d0abb7b9-c4c6-4021-8ec6-040ab8e0b9df	0.067	0.607	0.815	0.267	0.693
dc80e8e9-12b0-4e71-b875-53c92da3d3b2	0.913	0.720	0.205	1.000	0.973
25f2986f-dbc9-4367-af93-d1a9446db58e	0.613	0.580	0.815	0.960	0.953
a1bbf796-b846-4212-9ac2-a6f45e39a807	0.933	0.640	0.310	0.960	0.873
84502f6f-b20f-45fc-bb5c-1edd3edba7da	0.867	0.787	0.150	0.967	0.900
a2d41773-0bc9-4bba-9378-1f54161329b7	0.407	0.187	0.410	0.553	0.747
db6d3e64-1220-4272-83e4-6594e0679f4f	0.887	0.200	0.225	0.973	0.673
34eb0f9f-aed6-41c5-8d25-775a4d6a9f1d	0.560	0.387	0.255	0.813	0.760
344e4f71-eba0-4f80-8650-4535edf25ae6	0.360	0.953	0.560	0.860	1.000
8f0fa8e9-0a5a-498f-ac99-c8a16aa7b1ba	0.440	0.940	0.735	0.773	0.993
e5d2a312-b12d-41d1-96bf-a395826c4dea	0.600	0.620	0.355	0.973	0.760
45af4cc2-b612-4497-836d-dc8697ab0107	0.893	0.573	0.260	0.920	0.993
4face0a1-3d4c-46d4-8fab-3409d975d52e	0.860	0.767	0.190	0.993	0.993
7da39b6b-4ce3-4e32-ac68-7a39a99c5795	0.493	0.460	0.170	0.707	0.973
689b70b5-7b19-4e6a-965e-831304cd0fb7	0.987	0.573	0.115	0.973	0.500
ed7fd5f3-e883-4021-b5a8-d73e3bde3263	0.780	0.513	0.315	0.993	0.647
8de9c14b-e316-4fcd-ac6f-88d7ec1a40cd	0.913	0.287	0.255	0.940	0.667
4f6c5cbc-1479-4031-bc0e-b0125cafce36	0.753	0.540	0.380	0.960	0.813
31f5f95e-e4bb-42a7-8624-3ac18c9cd9bb	0.940	0.147	0.220	0.893	0.720
20ef9e55-be13-4e0a-80a6-2e3d0bb76ef1	0.993	0.853	0.295	1.000	0.700
b452a244-23c1-449d-9408-cde73dfb8bee	0.860	0.987	0.200	0.927	0.953
09ff671e-e142-43bf-b17d-15873f40bd3a	0.993	0.347	0.225	0.853	0.727
cb12d387-815e-4f95-a1d4-e40b20de87ab	0.980	0.247	0.410	0.540	0.080
f75131e5-8418-4e8f-9055-d91eab89999b	0.913	0.980	0.230	0.980	0.753
02af2ade-98d1-464e-819e-96c5eb69db71	0.987	0.987	0.215	1.000	0.900
d1dc76fb-1376-43c9-9de7-eba1f45c0855	0.980	0.393	0.375	0.960	0.560
bd2c0acd-ebf6-471c-804f-cd63ce569097	1.000	0.553	0.145	0.513	0.820
0a90cfff-dd8e-4d88-b0db-3b2aedae5cd4	0.760	0.513	0.460	0.980	0.860
97dba5f1-6f63-4061-a0bc-42044022c571	0.993	0.833	0.065	0.787	0.787
e39c2a44-ff19-40b5-8bb6-bcf517eb2e39	0.707	0.300	0.345	0.913	0.733
275fe949-2f03-4a21-ac71-2419c7749de5	0.993	0.747	0.115	0.960	0.660
ed2d0820-3a6c-4f10-a81d-382f8c70290d	0.987	0.187	0.335	0.980	0.753
a4a1b82d-b8e3-4ad2-bb45-50e0c72f5fdf	0.640	0.180	0.545	0.840	0.793
d3ad1fdf-3ba8-460c-a7a4-e5a4872bf429	0.927	0.447	0.225	1.000	0.940
c7bc5b28-0220-42e8-85fc-e83aedaa3a09	0.313	0.467	0.680	0.693	0.753
18e046b9-6515-4dd2-abe0-cda0af4c5cd3	0.980	0.373	0.715	0.800	0.973
369379a9-937d-4035-8267-0c6b472ce1c0	0.573	0.773	0.315	0.980	0.980
f89877bd-db59-4089-b9e3-57fd6f15b351	0.607	0.487	0.645	0.833	0.907
74398f61-7345-4992-ab28-8c0e4cec239b	0.907	0.760	0.260	1.000	0.927
0f729ef8-4b68-49ac-ba4c-129f63c1abe1	0.993	0.787	0.230	0.973	0.733
0bc288eb-085f-4e19-bbff-c194c3549a40	0.800	0.713	0.265	0.993	0.787
12e5e596-3aa5-429a-bc7f-afe7fdfa8279	0.927	0.480	0.465	0.280	0.893
50859f92-97fb-433e-9ef4-1bb37438c27d	0.980	0.360	0.710	0.960	0.713
22a96ff3-6251-4793-9a2b-a6d324b7b7f2	0.847	0.473	0.600	0.953	0.700
49195cc0-070f-48e2-8727-9ca85aec3d82	0.887	0.500	0.770	0.920	0.653
bb55a3ca-08b0-4523-8be7-438a2851a05e	0.993	0.300	0.165	0.720	0.873
79fafb86-43b9-4c43-85d5-5e6591826b3d	0.967	0.607	0.090	0.860	0.327
a87628c5-2b72-4f5a-952b-1042222de7c7	0.980	0.340	0.490	0.987	0.660
1b31e75f-e376-4aba-85c2-be157ccbe5b9	0.493	0.480	0.585	0.893	0.627
efa60f18-ff3d-4d78-a42a-7cf87df1ab04	0.800	0.987	0.150	0.873	0.900
0f5714e7-4cc0-48cc-9a8f-a06dbd25e4b1	0.380	0.667	0.315	0.193	0.987
33cfb040-f53a-4448-bda4-3f159704e895	0.907	0.267	0.320	0.920	0.760
664d79b6-290f-42ba-8530-cd6b8c7f7df5	0.993	0.347	0.255	0.907	0.653
c409d496-0cf2-4313-b968-8bb202c44836	0.647	0.953	0.220	0.987	0.967
fe976dc3-521f-4af3-9964-d277030ebe0d	0.493	0.653	0.890	0.193	0.560
a51a59fb-32b4-444c-9d1b-bc37be1a4ed4	0.993	0.333	0.285	0.720	0.820
904f9aae-a810-4160-ac26-a7082cd30ccb	1.000	0.307	0.175	0.907	0.820
0c7362a1-8be3-4247-abe6-887e493d66a0	0.980	0.447	0.210	0.920	0.640
153f333a-6c0d-4611-8ea4-8886b0299a69	0.947	0.480	0.290	0.993	0.733
f7470301-548a-413b-ac7f-a29a89465104	0.980	0.307	0.205	0.933	0.760
b4b1a105-66bd-483c-bcff-379f3b4d520e	1.000	0.173	0.115	0.607	0.933
d444552b-c1b8-4c80-b920-ec891ef2903d	0.340	0.640	0.915	0.960	0.987
24664ad9-79ce-4d7c-8afc-ba2ce0a99003	0.973	0.607	0.300	1.000	0.880
6c6b4eed-3aad-4a3a-98b2-123ddeca254c	0.893	0.707	0.515	0.993	0.927
d25e1065-9be0-4506-ab81-f12cd44188dd	0.987	0.273	0.230	0.827	0.453
174d71ea-8bae-4ff0-bf7c-c430da2b4668	0.993	0.100	0.135	0.513	0.420
2d802c68-4e5a-4ad1-82d9-4f9554c41beb	0.980	0.467	0.190	0.920	0.627
f12f25f8-f3d9-4e3f-8e15-98605d7bcbe5	0.527	0.980	0.580	0.913	0.973
1e72c5b1-1822-4e71-b3ed-abfae5719776	0.907	0.787	0.350	0.987	0.713
750af31c-aae9-45ef-b686-857bdf693fa9	0.953	0.233	0.305	0.587	0.513
fea8f139-abf2-4b0e-8cbf-cd61d41d441c	0.907	0.560	0.380	0.980	0.900
1adaf24f-f61a-4c6d-bea5-7bc99465c798	1.000	0.940	0.185	1.000	0.167
6c377bf1-11eb-430a-8d84-40fb1e06c20b	0.993	0.360	0.175	0.753	0.927
400f2721-f4f0-4127-a952-acc942035234	0.133	0.087	0.570	0.333	0.193
0a92f29f-08df-409b-8026-523349442217	0.387	0.553	0.280	0.720	0.807
47502500-df8e-4ae7-82fd-3a569ad72639	0.993	0.280	0.385	0.980	0.953
fbf174f9-fe67-4a30-9b9a-356f3996a3ce	0.667	0.347	0.385	0.960	0.827
ca1bce99-f595-43f2-90c1-f84ecfcffcb8	0.313	0.080	0.975	0.167	0.247
da7e7b72-1271-4be9-a254-440c0731307c	1.000	0.160	0.245	0.347	0.680
4e87660d-2514-4ad5-a656-9f685dafa40f	0.993	0.967	0.315	1.000	0.940
c7928f41-7974-4df6-a617-203389bf8efd	0.967	0.600	0.155	0.967	0.813
35447795-1efb-4eb4-8cd5-ba727fe406f1	0.980	0.713	0.210	0.453	0.707
5df839fa-5fab-4dd3-a152-5a8fa4cf6eea	0.593	0.347	0.495	0.800	0.447
f9334d5b-5726-4534-a83b-3f2cf138a40d	0.480	0.933	0.255	0.847	0.847
69502b7f-dcce-4fbb-bf09-4c44d1655fc7	0.893	0.307	0.320	0.920	0.733
0d38a15a-ea24-47c4-a991-4985f821ef54	0.953	0.513	0.155	0.400	0.800
613a507d-7da9-4993-bbc6-b1ad1383fcf1	0.893	0.273	0.325	0.953	0.193
f59073fd-c270-404b-9208-74c1ca293397	0.973	0.293	0.115	0.987	0.440
62c6744f-1a5e-4d3d-bbb4-9030d0e35e8d	1.000	0.380	0.285	0.947	0.907
e49a853b-e851-4944-bbb4-5595e880ba80	0.460	0.620	0.455	0.940	0.473
ccc2fe21-20e1-4af7-8337-dba182151139	0.993	0.527	0.170	0.713	0.873
b56a9a13-be7f-4179-96a6-027b4b1d4a3d	0.533	0.047	0.440	0.993	0.713
2d3e0c4c-b59c-45f8-8b78-c74fd149c614	0.973	0.727	0.280	1.000	0.767
1dd9f3a7-760f-4ac3-8a84-02826cadfc54	0.787	0.747	0.180	0.967	0.693
82c9ebfc-f24c-4fd2-89be-1053acb5fc91	0.747	0.687	0.485	1.000	0.987
58280a36-e9d3-4279-ae87-8e9412839579	0.773	0.740	0.635	0.887	0.620
709146ff-2a6b-4260-b724-c807907d16e8	0.693	0.267	0.320	0.960	0.940
fabf264f-0829-49b9-b691-6898c10b007b	0.993	0.380	0.145	0.913	0.427
806be532-8df2-4d08-8c5f-d72d6b748578	0.967	0.387	0.060	0.653	0.820
550f8e72-eab8-4eb8-98d2-925366acc84f	0.480	0.707	0.440	0.907	0.960
b48f6b07-e2d0-4b1a-902b-15aeb36a8af3	0.793	0.213	0.520	0.987	0.860
8ac7c332-f24f-4e3e-84b9-ba9d748c9aa5	0.793	0.307	0.285	0.993	0.747
31dfa8eb-78ab-4725-b7a0-2daa4d2ff3f6	0.753	0.253	0.330	0.907	0.753
8ba513a3-3e8b-49e5-9458-40a5204d0adc	0.973	0.413	0.435	0.820	0.927
eab55bc5-0dc6-4d0b-8b7e-4699051449fe	0.927	0.587	0.195	0.780	0.940
278d5584-4110-4b4a-8972-6a54fb85fbae	0.807	0.800	0.240	0.973	0.887
f938f3af-4cdb-44ca-b09f-ed09b7e4f590	0.060	0.147	0.800	0.527	0.727
6a103465-06cf-4c62-85a2-83dda5714d9c	0.960	0.693	0.190	0.927	0.707
8bde307a-1637-4b95-97eb-81121b9ad221	0.587	0.820	0.320	0.920	0.953
bce017a4-7556-4c8c-8400-ae6051c85563	0.840	0.713	0.095	0.980	0.787
5eb66bd3-f26d-446b-bf35-cc3d6148ae6d	1.000	0.587	0.210	0.873	0.607
4d213df6-4683-4082-a258-782218b1d350	0.713	0.980	0.300	0.953	0.787
e8b499e3-fea8-403b-ad0d-19476aa9fdf7	0.833	0.333	0.265	0.967	0.207
c805507a-bf4b-4515-9be0-193340763584	1.000	0.420	0.170	0.887	0.653
0b743445-1824-4f05-b3d9-8b9e8f11c47f	0.393	0.640	0.225	0.967	0.713
1c03d009-1f76-4ae6-81e8-0f54569b45dd	0.733	0.520	0.395	0.980	0.780
d23f415b-2a4f-4ba1-b753-b07ad4c65bfa	0.440	0.727	0.380	0.860	0.967
22118eda-48e3-42f9-b390-675a25a516f2	0.640	0.607	0.385	0.973	0.773
8b147e17-113a-47eb-9a7c-bb967cb46b83	0.993	0.207	0.000	0.020	0.020
abe4697a-7e93-45fa-9bf1-9fb8520c02f8	0.613	0.680	0.445	0.793	0.773
0406d6c7-c013-4d6d-8a8c-a06d0862be7b	0.973	0.767	0.195	1.000	0.760
fa36ffe8-8453-4ec4-b918-dade79fcd377	0.600	0.547	0.650	0.880	0.953
89f50194-fb0d-4423-be04-00bb8af17bf2	0.973	0.493	0.395	0.973	0.940
6be9c25e-8b7f-4825-8908-7bcff7fa62a5	0.927	0.347	0.470	0.253	0.740
90dd383d-7561-4ffd-9417-0dbf1e0c4764	0.940	0.440	0.105	0.953	0.933
0e2196a3-634c-48d8-8cef-b17474e32b10	0.953	0.840	0.160	0.987	0.987
6c98e2d7-d3f3-43c9-8fe0-824cea27ce13	0.773	0.387	0.900	0.993	0.987
79bacbfb-c4e1-4c82-8e20-823d595b3b3e	0.780	0.213	0.460	0.960	0.880
7898705b-b8a2-401f-b0b8-57e2da9fbce1	0.987	0.373	0.200	0.827	0.747
d4b7f444-5c00-4be6-9fb4-3b8b5c1fdbb2	0.820	0.993	0.115	0.987	0.980
701c4368-2b5e-48cd-a141-9022d08a6046	0.233	0.107	0.945	0.760	0.340
f6401932-a605-4a50-939f-fb2024808cb0	0.967	0.133	0.235	0.947	0.647
6b72b0e4-14a2-4f96-acdc-d7491838772a	0.853	0.907	0.385	0.933	1.000
2ce19cd0-6e4e-4047-881c-37b76028d111	0.407	0.707	0.095	0.807	0.827
2bb93942-a03d-4f74-9ae1-526b549a41b8	0.947	0.893	0.290	1.000	0.840
c2e58483-e867-48d5-b5af-90afc53196bd	0.993	0.227	0.175	0.600	0.893
244a8fd3-a282-4942-ae54-e9d977704f10	1.000	0.327	0.235	0.967	0.633
2a974a6f-d064-4311-8fac-a238645a884a	0.413	0.933	0.205	0.947	0.273
d043f2a6-2e1f-4e6e-aa7a-45396339e507	1.000	0.260	0.305	0.900	0.667
af271f38-fc6f-4d0d-ad25-7b00b0762ca5	0.880	0.867	0.365	0.860	0.320
215ebfac-1eeb-4a5c-911c-c6c69281b8c9	0.107	0.927	0.715	0.540	0.827
3da17466-b215-4ee9-a7f0-15db29d898fa	0.833	0.133	0.375	0.907	0.727
0bd3c519-741a-49e6-ae11-5ded18e6d92a	0.460	0.353	0.915	0.900	0.907
f3a802ba-4d3b-4884-bb03-b6d04ab4e1ca	0.993	0.347	0.430	1.000	0.593
be6d9f3a-ccb5-4a75-8f48-41256802dd7f	0.513	0.300	0.910	0.640	0.393
81b38ce3-da0b-4762-b063-890396655f33	0.253	0.073	0.990	0.173	0.153
0ca7879f-9f8b-4e68-85df-40b98126cdaa	0.927	0.467	0.055	0.780	0.433
4ed313cd-a64b-4af3-83e9-0e9172c62ad7	0.973	0.513	0.315	0.860	0.827
17124f68-8ee0-4056-bb8e-33731018e18a	0.920	0.967	0.160	1.000	0.933
a7535c02-6eb1-48f2-86ea-906d6ca84f7f	0.947	0.800	0.510	0.753	0.980
e5e5e925-753e-4838-a4e3-06846a2b0ea6	0.953	0.213	0.675	0.827	0.820
73e3eb34-a93c-4d9b-9bc4-1b105a28fcb6	0.980	0.300	0.150	0.913	0.660
53edcb69-cf0d-4351-bb35-6347a38425ad	1.000	0.260	0.250	0.873	0.587
ef6e1e87-c288-4f60-b21d-356ba0e9bac4	0.967	0.340	0.050	0.700	0.700
ece012a6-1920-47b6-8004-915ae5041ff2	0.420	0.080	0.980	0.027	0.353
ca1fba81-b6a7-487e-a790-a0a03307197b	0.720	0.500	0.445	0.820	0.913
98a084b5-a64f-4e08-baf4-624d1bb9db35	0.840	0.053	0.760	0.720	0.053
8f82f6c7-7834-4fa9-86b1-26fa44403401	0.980	0.813	0.390	1.000	0.960
a669c8ef-26b5-4885-a308-178cf547204a	0.753	0.487	0.290	0.980	0.627
01771295-e1a7-45ca-a3be-10e5d6ffe862	0.073	0.760	0.695	0.340	0.267
fda8d01b-4f95-4aca-aeb3-1b3108ac1b64	0.500	0.547	0.335	0.927	0.987
0946bec1-3989-4daf-9eee-088b88903929	0.207	0.347	0.820	0.720	0.553
af172def-6c81-4939-9dfb-39b7efbb23f0	0.993	0.387	0.310	0.920	0.887
38c34e23-b62c-434b-a25a-a0b1bdda1a7a	0.300	0.673	0.380	0.960	0.973
227a0249-db24-4852-a06b-0635cc9e7e19	1.000	0.367	0.235	0.840	0.900
28b7ff8b-24d0-49ee-b8e1-0c685cd255a7	0.413	0.173	0.690	0.287	0.420
7ebe50bd-9ab9-4833-8215-8ad4dbcf46c7	0.933	0.740	0.225	0.973	0.687
9225c993-5641-436b-a061-9770bfb519ac	0.060	0.100	0.725	0.133	0.380
2e8a9916-f122-4feb-978b-08a0488eafd2	0.340	0.393	0.930	0.473	0.620
966cf3d5-4fb3-456f-9d63-08686d105c43	0.980	0.313	0.660	0.293	0.833
ed31e1e3-e561-4afe-b5cd-9180b9d76752	0.847	0.907	0.190	1.000	0.973
