seqname	dsDNAphage	NCLDV	RNA	ssDNA	lavidaviridae
b7640ba5-d7c1-4662-a9d6-9503b2f16a9e	0.893	0.293	0.375	0.500	0.487
4d22de08-c327-43df-8ab3-f61ac34dcc2e	0.893	0.620	0.465	1.000	0.973
1a824adb-2fe5-4e78-8258-a0eeb26a3a63	0.933	0.813	0.310	0.933	0.233
6dd3acab-1c5c-4c22-a790-c6089afeaf3d	0.860	0.353	0.415	0.753	0.653
9e0ad1b3-56c8-4e5c-b7b5-410dce5c66a0	0.967	0.753	0.275	0.940	0.693
8f042efb-985a-4812-ad11-db7a75c03f1a	0.900	0.593	0.240	0.960	0.747
72dab076-73f8-4e3e-a3ef-b4593260b732	0.567	0.527	0.110	0.940	0.973
4e4a6057-be3b-45ef-8bb9-2a986193bd91	0.960	0.413	0.540	0.760	0.633
1bd86929-a38a-48a4-a962-4bcd356e32a0	0.953	0.940	0.335	0.953	0.767
35d8166e-b8b2-4db9-8070-d0119067e33e	0.907	0.347	0.175	0.987	0.380
0c37483a-e27c-430d-8a9a-fc27f1314de6	0.767	0.247	0.345	0.893	0.573
74bdcca2-e2c2-40bd-989c-e6e8596a9d69	0.420	0.707	0.510	0.900	0.987
eff4f45f-81fa-466a-a22b-eca1353fc1e1	0.980	0.673	0.095	0.500	0.773
f2bf45d0-dc90-4ef3-b3f0-22562f88416c	0.980	0.273	0.185	0.407	0.580
d507e2f3-7304-40eb-9e67-7db93d1d72a9	0.993	0.347	0.180	0.980	0.640
21da37a3-b822-41e5-a829-8d8a73e5e22c	0.980	0.647	0.610	1.000	0.973
b07f8e78-36c6-48b8-b427-f0e3916c3d66	0.927	0.753	0.260	0.993	0.913
90034f67-7782-4ca7-9672-a8d2d0582063	0.020	0.573	0.255	0.080	0.107
9c400a3e-c005-48c3-9145-8748af8aa4b1	0.760	0.527	0.450	0.973	0.720
ae1bc89d-5e8e-4ecc-b3ff-686cf2a34902	0.967	0.733	0.315	0.393	0.740
e0fa5eb4-d5f0-4352-a0a3-73357df49388	0.507	0.460	0.455	0.953	0.793
470c9e5d-ca9f-42a1-a355-aeb9b90d827e	0.960	0.367	0.565	0.980	0.720
742c1bcf-6170-43ee-9286-0f28140ca138	0.527	0.347	0.785	0.840	0.460
488ae676-906a-4463-a971-0f5ba62966bf	0.093	0.067	0.290	0.233	0.553
05ea8cba-da40-40f5-aabf-1d3ee86984c9	0.900	0.647	0.465	0.987	0.913
de9764ac-61bf-432d-b751-a13ae8b194a0	0.140	0.173	0.615	0.707	0.493
ccd5bacc-c615-4be3-84da-0867960cabda	0.167	0.100	0.680	0.160	0.273
dc80e8e9-12b0-4e71-b875-53c92da3d3b2	0.880	0.067	0.275	0.973	0.647
a1bbf796-b846-4212-9ac2-a6f45e39a807	0.727	0.327	0.285	0.713	0.753
45af4cc2-b612-4497-836d-dc8697ab0107	0.807	0.407	0.235	0.373	0.580
4face0a1-3d4c-46d4-8fab-3409d975d52e	0.840	0.887	0.330	0.967	0.887
7da39b6b-4ce3-4e32-ac68-7a39a99c5795	0.440	0.900	0.100	0.220	0.573
689b70b5-7b19-4e6a-965e-831304cd0fb7	0.933	0.907	0.270	0.473	0.660
24cc891e-7ea2-49eb-b156-ec5b94161b94	0.987	0.547	0.385	1.000	0.913
09ff671e-e142-43bf-b17d-15873f40bd3a	0.993	0.420	0.265	0.967	0.647
75c5ee07-519f-416d-977d-f1fe9f4be1df	0.893	0.687	0.605	0.753	0.860
bd2c0acd-ebf6-471c-804f-cd63ce569097	0.860	0.947	0.125	0.913	0.613
e39c2a44-ff19-40b5-8bb6-bcf517eb2e39	0.447	0.320	0.500	0.827	0.787
d3ad1fdf-3ba8-460c-a7a4-e5a4872bf429	0.920	0.533	0.615	0.940	0.767
12e5e596-3aa5-429a-bc7f-afe7fdfa8279	0.953	0.273	0.520	0.713	0.647
22a96ff3-6251-4793-9a2b-a6d324b7b7f2	0.427	0.240	0.770	0.447	0.200
bb55a3ca-08b0-4523-8be7-438a2851a05e	0.993	0.360	0.195	0.740	0.653
cdab7cef-17db-4aad-b6b1-15c39772518a	0.400	0.220	0.735	0.653	0.393
79fafb86-43b9-4c43-85d5-5e6591826b3d	0.980	0.527	0.215	0.993	0.580
a51a59fb-32b4-444c-9d1b-bc37be1a4ed4	0.993	0.467	0.270	1.000	0.933
0c7362a1-8be3-4247-abe6-887e493d66a0	0.907	0.680	0.190	0.987	0.580
b4b1a105-66bd-483c-bcff-379f3b4d520e	1.000	0.193	0.105	0.447	0.600
750af31c-aae9-45ef-b686-857bdf693fa9	0.827	0.633	0.520	0.947	0.907
400f2721-f4f0-4127-a952-acc942035234	0.373	0.153	0.490	0.773	0.453
ca1bce99-f595-43f2-90c1-f84ecfcffcb8	0.160	0.160	0.935	0.720	0.273
c7928f41-7974-4df6-a617-203389bf8efd	0.860	0.240	0.250	0.973	0.513
f9334d5b-5726-4534-a83b-3f2cf138a40d	0.693	0.247	0.185	0.940	0.300
3a31089f-5584-4347-9299-00c8799fefff	0.653	0.433	0.645	0.873	0.660
613a507d-7da9-4993-bbc6-b1ad1383fcf1	0.907	0.300	0.165	0.973	0.320
f59073fd-c270-404b-9208-74c1ca293397	0.933	0.313	0.470	0.967	0.793
62c6744f-1a5e-4d3d-bbb4-9030d0e35e8d	0.960	0.187	0.555	0.880	0.680
ccc2fe21-20e1-4af7-8337-dba182151139	0.713	0.687	0.100	0.847	0.293
709146ff-2a6b-4260-b724-c807907d16e8	0.707	0.480	0.355	0.960	0.920
fabf264f-0829-49b9-b691-6898c10b007b	0.573	0.667	0.535	0.933	0.600
806be532-8df2-4d08-8c5f-d72d6b748578	0.740	0.800	0.120	0.833	0.920
a42c4638-3f7c-4abd-8e27-1dd2d72b4e13	0.760	0.287	0.825	0.960	0.747
31dfa8eb-78ab-4725-b7a0-2daa4d2ff3f6	0.613	0.600	0.435	0.980	0.860
a94f410e-71e5-4c5b-88a7-cf85370f1c22	0.593	0.260	0.470	0.853	0.687
6a103465-06cf-4c62-85a2-83dda5714d9c	1.000	0.720	0.510	0.927	0.807
8bde307a-1637-4b95-97eb-81121b9ad221	0.007	0.827	0.075	0.027	0.413
e8b499e3-fea8-403b-ad0d-19476aa9fdf7	0.973	0.993	0.160	0.980	0.700
8b147e17-113a-47eb-9a7c-bb967cb46b83	0.953	0.473	0.045	0.107	0.267
fa36ffe8-8453-4ec4-b918-dade79fcd377	0.393	0.413	0.895	0.940	0.607
dbe5b642-6166-4a0b-bbc8-899a78547bd3	0.927	0.893	0.220	0.807	0.793
442a2e9c-496f-4c28-a13c-b97ca1c4eee9	0.793	0.247	0.470	0.820	0.680
89f50194-fb0d-4423-be04-00bb8af17bf2	0.987	0.233	0.240	0.987	0.633
90dd383d-7561-4ffd-9417-0dbf1e0c4764	0.787	0.573	0.175	0.993	0.927
7898705b-b8a2-401f-b0b8-57e2da9fbce1	0.967	0.827	0.170	0.720	0.580
