qaccver	saccver	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
NC_014760.1_0001	UniRef90_C4XFM3	56.3	465	199	1	6	466	5	469	3.2e-144	520.8
NC_014760.1_0002	UniRef90_C4XFM2	51.3	372	174	5	1	369	2	369	1.6e-98	368.6
NC_014760.1_0003	UniRef90_UPI000486B3F5	58.6	70	29	0	1	70	1	70	1.1e-14	87.8
NC_014760.1_0004	UniRef90_E4PU65	59.2	262	106	1	6	266	1	262	2.4e-88	334.3
NC_014760.1_0005	UniRef90_A0A507SQE5	59.8	261	105	0	3	263	4	264	6.2e-89	336.3
NC_014760.1_0006	UniRef90_A0A1H9GWR8	53.6	377	174	1	7	382	6	382	6.9e-108	399.8
NC_014760.1_0007	UniRef90_C5J6L5	56.9	343	148	0	1	343	1	343	9.1e-112	412.5
NC_014760.1_0008	UniRef90_C5J6L5	57.5	341	142	1	1	341	1	338	1.1e-109	405.6
NC_014760.1_0009	UniRef90_K7X9A2	59.4	278	110	1	6	283	17	291	1.7e-92	348.2
NC_014760.1_0010	UniRef90_A0A387L714	59.6	114	46	0	1	114	11	124	4e-32	146.4
NC_014760.1_0011	UniRef90_A0A0L1IJR8	56.2	333	145	1	1	332	1	333	2.5e-98	367.9
NC_014760.1_0015	UniRef90_I5D583	55.4	148	66	0	1	148	1	148	1.6e-36	161.4
NC_014760.1_0016	UniRef90_UPI001463D565	59.8	522	192	7	5	525	9	513	1.9e-161	578.2
NC_014760.1_0018	UniRef90_A0A3P8MF96	51.4	319	143	5	9	325	10	318	1.8e-77	298.5
NC_014760.1_0019	UniRef90_A0A448ZY30	59.9	212	85	0	1	212	1	212	3.1e-65	257.3
NC_014760.1_0020	UniRef90_UPI0004986912	59	212	86	1	1	211	1	212	1.3e-63	251.9
NC_014760.1_0021	UniRef90_I5D589	56.6	643	259	4	1	623	1	643	5.1e-198	699.9
NC_014760.1_0022	UniRef90_A0A1G4W304	60	295	116	2	8	300	12	306	6.5e-90	339.7
NC_014760.1_0026	UniRef90_A0A077L6W3	59.1	337	137	1	1	336	1	337	9.5e-106	392.5
NC_014760.1_0030	UniRef90_UPI000562EB43	59.7	437	162	6	5	435	8	436	1.2e-127	465.7
NC_014760.1_0032	UniRef90_A0A448ZVM4	59.9	332	124	2	6	337	4	326	6.4e-78	300.1
NC_014760.1_0033	UniRef90_A0A269TI52	59.8	316	127	0	46	361	24	339	8.3e-100	372.9
NC_014760.1_0034	UniRef90_A0A3P8L7E4	56.9	900	336	15	32	927	38	889	1.4e-282	981.5
NC_014760.1_0038	UniRef90_A0A059XL12	59.5	412	164	1	1	412	1	409	3e-138	500.7
NC_014760.1_0039	UniRef90_A0A3P8MEJ6	59.3	231	94	0	1	231	1	231	2.1e-72	281.2
NC_014760.1_0040	UniRef90_UPI000497AD19	43.8	194	109	0	1	194	1	194	1.8e-45	191.4
NC_014760.1_0041	UniRef90_A0A0F5H039	58.3	60	25	0	15	74	10	69	9.4e-9	68.2
NC_014760.1_0042	UniRef90_A0A1L4FS47	59.1	193	78	1	1	192	1	193	3e-59	237.3
NC_014760.1_0045	UniRef90_UPI000486738C	55.6	342	149	3	3	343	8	347	2e-87	331.6
NC_014760.1_0046	UniRef90_A0A397S299	53.5	228	104	2	5	232	2	227	2.1e-59	238
NC_014760.1_0047	UniRef90_UPI000564997D	59.7	181	73	0	1	181	1	181	1.6e-54	221.5
NC_014760.1_0048	UniRef90_A0A507SMP2	58.8	444	183	0	113	556	1	444	6.7e-157	563.1
NC_014760.1_0051	UniRef90_UPI000484D90E	59.1	328	134	0	4	331	3	330	1.3e-104	388.7
NC_014760.1_0052	UniRef90_N9V0N0	57.9	259	104	3	3	260	4	258	2.5e-77	297.7
NC_014760.1_0053	UniRef90_UPI0004960BAC	59.1	252	103	0	1	252	1	252	8.4e-83	315.8
NC_014760.1_0054	UniRef90_A0A449B9U7	58.6	449	178	3	3	445	2	448	2e-143	518.1
NC_014760.1_0055	UniRef90_UPI0004965BC6	49.1	224	110	2	1	222	1	222	1.3e-55	225.3
NC_014760.1_0056	UniRef90_UPI0013D5C020	60	335	131	2	3	336	4	336	1.1e-106	395.6
NC_014760.1_0057	UniRef90_UPI0004727012	60	420	168	0	1	420	1	420	2.4e-138	501.1
NC_014760.1_0059	UniRef90_A0A6N7M9G8	60	45	18	0	4	48	3	47	1e-5	57.4
NC_014760.1_0060	UniRef90_C4XFU0	60	105	42	0	1	105	5	109	5.2e-26	125.9
NC_014760.1_0061	UniRef90_UPI000496EF18	59.7	724	278	6	1	721	1	713	5.1e-242	846.3
NC_014760.1_0062	UniRef90_C4XFI8	59.9	327	130	1	1	326	10	336	7.4e-108	399.4
NC_014760.1_0064	UniRef90_UPI000496532F	56.3	240	105	0	1	240	1	240	1.1e-69	272.3
NC_014760.1_0065	UniRef90_UPI0004A73F16	59.8	326	131	0	1	326	1	326	6.3e-107	396.4
NC_014760.1_0066	UniRef90_UPI000480CF28	54.9	1480	632	15	1	1458	1	1466	0	1600.5
NC_014760.1_0067	UniRef90_A0A0F5H000	60	400	160	0	1	400	1	400	2.3e-138	501.1
NC_014760.1_0068	UniRef90_A0A449AYX5	59.7	318	127	1	4	321	2	318	2.7e-102	380.9
NC_014760.1_0069	UniRef90_A0A3P8KBS0	59.6	223	85	2	1	218	1	223	3.5e-69	270.4
NC_014760.1_0070	UniRef90_UPI000482AAD4	59.3	727	293	2	1	726	1	725	2.2e-248	867.5
NC_014760.1_0071	UniRef90_R5TLZ5	59.9	379	148	3	9	384	2	379	6.6e-125	456.4
NC_014760.1_0072	UniRef90_UPI00055E88EF	59.2	306	124	1	6	310	9	314	4.3e-108	400.2
NC_014760.1_0073	UniRef90_A0A449A8F6	58	386	158	2	3	386	2	385	6.3e-122	446.4
NC_014760.1_0074	UniRef90_UPI000496D575	53.8	130	60	0	13	142	1	130	1.2e-33	151.8
NC_014760.1_0075	UniRef90_A0A449B4C1	53.8	411	186	3	1	411	1	407	8.3e-120	439.5
NC_014760.1_0076	UniRef90_UPI0004A74BA2	58.8	369	145	1	1	362	1	369	5.4e-123	449.9
NC_014760.1_0077	UniRef90_UPI0004969A78	59.8	241	96	1	10	250	1	240	6.5e-75	289.7
NC_014760.1_0079	UniRef90_UPI000485A7FB	59.3	86	35	0	1	86	1	86	1.1e-18	101.3
NC_014760.1_0080	UniRef90_UPI0004836956	60	285	113	1	7	290	3	287	9e-89	335.9
NC_014760.1_0082	UniRef90_A0A0J8YXG2	60	135	54	0	8	142	5	139	2.1e-39	171
NC_014760.1_0083	UniRef90_B3PM27	60	230	92	0	1	230	1	230	6.7e-71	276.2
NC_014760.1_0087	UniRef90_A0A014L5U6	59.9	172	68	1	1	171	1	172	2.6e-54	220.7
NC_014760.1_0088	UniRef90_UPI00047F8B1B	58.2	237	93	4	1	235	1	233	2.1e-67	264.6
NC_014760.1_0090	UniRef90_UPI001315B0CD	59.2	287	109	3	2	286	4	284	3.5e-85	323.9
NC_014760.1_0092	UniRef90_UPI000489DC4B	56	302	133	0	4	305	5	306	1.3e-88	335.5
NC_014760.1_0093	UniRef90_UPI000482755F	59.4	298	117	3	25	318	10	307	1.6e-102	381.7
NC_014760.1_0094	UniRef90_A0A449B4K3	54.1	305	139	1	4	307	2	306	9.2e-92	345.9
NC_014760.1_0096	UniRef90_A0A4P6MR94	60	360	141	3	1	359	1	358	9.4e-120	439.1
NC_014760.1_0097	UniRef90_Q98PG0	59.8	326	131	0	2	327	3	328	4e-109	403.7
NC_014760.1_0098	UniRef90_F9UJV7	54.7	64	29	0	8	71	6	69	3.6e-10	72.8
NC_014760.1_0099	UniRef90_A0A4P6MS60	60	240	96	0	4	243	3	242	4.2e-71	276.9
NC_014760.1_0100	UniRef90_UPI000562AD76	59.8	482	190	3	50	530	6	484	4.9e-157	563.5
NC_014760.1_0101	UniRef90_Q6KHM9	60	65	26	0	1	65	1	65	9.4e-13	81.3
NC_014760.1_0102	UniRef90_UPI000488F267	52.2	180	83	2	1	180	1	177	4.5e-46	193.4
NC_014760.1_0103	UniRef90_UPI000482A6DE	58.4	298	117	2	2	299	3	293	1.6e-88	335.1
NC_014760.1_0104	UniRef90_UPI0004964E6B	50.7	972	462	6	3	961	2	969	2.6e-278	967.2
NC_014760.1_0105	UniRef90_A0A449B5G6	58	362	143	5	1	362	1	353	3.2e-99	370.9
NC_014760.1_0106	UniRef90_UPI00047F6DD5	55.4	442	175	6	1	422	1	440	2.7e-118	434.5
NC_014760.1_0107	UniRef90_A0A449AX47	59.6	344	136	2	35	377	5	346	1.9e-115	424.9
NC_014760.1_0108	UniRef90_A0A449B5H1	55.5	807	325	4	1	777	1	803	6.5e-238	832.8
NC_014760.1_0110	UniRef90_UPI000495ED4D	53.7	149	69	0	8	156	6	154	1.1e-35	158.7
NC_014760.1_0113	UniRef90_Q98PV7	57.6	144	57	3	5	146	3	144	4.1e-37	163.3
NC_014760.1_0115	UniRef90_UPI0004957268	55.9	127	56	0	1	127	1	127	5.5e-22	112.8
NC_014760.1_0116	UniRef90_L0RUR5	59.9	152	58	2	4	152	12	163	8.7e-43	182.2
NC_014760.1_0117	UniRef90_A0A3G8LHZ6	57.8	128	54	0	4	131	5	132	4.9e-34	152.9
NC_014760.1_0118	UniRef90_A0A1L4FS70	60	290	115	1	1	289	1	290	2.7e-93	350.9
NC_014760.1_0119	UniRef90_Q98Q78	59.4	345	138	2	1	344	1	344	3.1e-112	414.1
NC_014760.1_0120	UniRef90_A0A505IV84	59.7	479	190	2	1	478	1	477	1.5e-160	575.1
NC_014760.1_0121	UniRef90_UPI0004971C8E	56.7	120	51	1	1	120	1	119	4e-30	139.8
NC_014760.1_0123	UniRef90_A0A059XME4	58.7	230	85	2	1	230	1	220	1.9e-65	258.1
NC_014760.1_0124	UniRef90_UPI0015A06CB8	60	785	309	2	6	790	3	782	4.1e-293	1016.1
NC_014760.1_0125	UniRef90_UPI0004828E6D	58.1	606	253	1	1	605	1	606	9.4e-205	722.2
NC_014760.1_0126	UniRef90_UPI0004866A17	60	448	161	4	11	458	5	434	3.4e-138	500.7
NC_014760.1_0127	UniRef90_A0A449BAQ1	59.9	269	106	1	3	271	4	270	1e-81	312.4
NC_014760.1_0128	UniRef90_UPI0004975F0A	59.8	271	105	1	1	271	1	267	1.8e-84	321.6
NC_014760.1_0129	UniRef90_UPI0004950151	55.9	633	258	3	1	632	1	613	7.7e-202	712.6
NC_014760.1_0130	UniRef90_UPI001464976B	60	60	24	0	1	60	1	60	2.6e-12	79.7
NC_014760.1_0132	UniRef90_A0A3B0PHQ4	59.4	377	150	1	1	374	1	377	2e-120	441.4
NC_014760.1_0133	UniRef90_UPI0004964CD7	52.8	89	42	0	1	89	1	89	2.2e-12	80.5
NC_014760.1_0134	UniRef90_A0A3P8LHM1	57.6	479	196	2	1	477	1	474	1e-153	552.4
NC_014760.1_0137	UniRef90_A0A4U0W894	57.1	224	46	1	28	251	1	174	3.2e-53	217.6
NC_014760.1_0138	UniRef90_A0A2N8U1N0	57.2	250	77	1	1	250	1	220	7.6e-67	263.8
NC_014760.1_0139	UniRef90_A0A2N8U1N0	56.8	250	78	1	1	250	1	220	1.3e-66	263.1
NC_014760.1_0141	UniRef90_F9QCS0	59.8	811	318	4	4	811	1	806	8.6e-294	1018.5
NC_014760.1_0142	UniRef90_C4XED5	58.9	280	110	3	3	280	16	292	2.7e-85	324.3
NC_014760.1_0143	UniRef90_A0A6M4JB69	59.9	312	116	2	16	318	17	328	2.7e-94	354.4
NC_014760.1_0144	UniRef90_N9VEM5	59.9	394	156	2	3	396	2	393	9.3e-129	469.2
NC_014760.1_0145	UniRef90_A0A168RGK9	59.7	139	56	0	2	140	3	141	2.3e-42	180.6
NC_014760.1_0146	UniRef90_UPI000480506E	59	195	77	3	1	193	1	194	1.9e-58	234.6
NC_014760.1_0148	UniRef90_A0A4R6IHE2	60	475	188	1	1	475	1	473	6.7e-158	566.2
NC_014760.1_0150	UniRef90_UPI0015BB9F7C	60	517	205	2	6	521	4	519	2.2e-158	568.2
NC_014760.1_0151	UniRef90_M9WCQ3	55.8	425	180	3	1	424	1	418	4.5e-121	443.7
NC_014760.1_0152	UniRef90_UPI0003128B20	57.6	125	50	2	5	127	5	128	3.5e-21	110.2
NC_014760.1_0153	UniRef90_A0A449A3U4	59.4	330	131	2	1	329	1	328	2.7e-105	391
NC_014760.1_0154	UniRef90_A0A1D5B508	57.9	221	92	1	6	225	3	223	9.8e-66	259.2
NC_014760.1_0158	UniRef90_A0A449B4D5	60	95	37	1	18	111	16	110	6.8e-22	112.5
NC_014760.1_0159	UniRef90_UPI0011454A2E	59.7	390	148	3	1	383	43	430	3.4e-136	493.8
NC_014760.1_0160	UniRef90_A0A3M0A301	59.4	106	39	3	6	110	6	108	3.1e-22	113.6
NC_014760.1_0162	UniRef90_A0A6M4JCH9	57.3	110	41	3	4	110	6	112	7.4e-22	112.5
NC_014760.1_0163	UniRef90_UPI0009FC53C8	56.1	472	196	3	1	462	1	471	7.1e-142	513.1
NC_014760.1_0168	UniRef90_D3VPK8	56.2	774	327	7	1	767	1	769	3.1e-245	857.1
NC_014760.1_0171	UniRef90_A0A654IKL0	57.9	107	44	1	7	112	142	248	4.6e-25	122.9
NC_014760.1_0173	UniRef90_A0A507SMP2	56.8	229	99	0	3	231	216	444	8e-72	279.3
NC_014760.1_0176	UniRef90_A0A2H4CEB6	60	90	36	0	1	90	102	191	4e-24	119.8
NC_014760.1_0182	UniRef90_UPI000C7D0F5D	59.5	148	60	0	3	150	2	149	4.1e-45	189.9
NC_014760.1_0183	UniRef90_L5L808	57.8	571	237	4	1	570	1	568	2.2e-171	611.3
NC_014760.1_0184	UniRef90_UPI0012E0C870	56	75	33	0	1	75	1	75	1.8e-12	80.5
NC_014760.1_0190	UniRef90_A0A3P8LHM1	57.6	479	196	2	1	477	1	474	1e-153	552.4
NC_014760.1_0191	UniRef90_C4XFA6	53.9	466	210	3	1	462	1	465	1.2e-140	508.8
NC_014760.1_0198	UniRef90_A0A654IM92	56.8	95	41	0	5	99	13	107	1.5e-22	114.4
NC_014760.1_0201	UniRef90_N9VAU8	51.2	531	229	9	1	506	1	526	6.3e-138	500
NC_014760.1_0211	UniRef90_A0A449B912	59.9	446	179	0	5	450	7	452	6e-148	533.1
NC_014760.1_0212	UniRef90_A0A482KDB0	59.8	333	131	2	1	331	1	332	1.7e-110	408.3
NC_014760.1_0213	UniRef90_I5D6L5	56.7	298	129	0	1	298	1	298	5.2e-84	320.1
NC_014760.1_0215	UniRef90_A0A2K8KHB5	59.5	398	157	1	1	394	1	398	8.9e-132	479.2
NC_014760.1_0216	UniRef90_A0A0D5ZIR4	59.9	332	127	2	5	332	7	336	3.8e-107	397.1
NC_014760.1_0217	UniRef90_A0A410DWX5	60	65	26	0	8	72	4	68	2.2e-13	83.6
NC_014760.1_0218	UniRef90_UPI0004972760	56.9	269	116	0	1	269	1	269	2.8e-84	320.9
NC_014760.1_0219	UniRef90_A0A6M4JD51	59.4	446	180	1	1	446	1	445	8.7e-139	502.7
NC_014760.1_0221	UniRef90_A0A6M4J8Q9	59.9	374	143	5	8	378	16	385	1.3e-114	422.2
NC_014760.1_0224	UniRef90_A0A6H2DTG4	58.2	471	187	2	2	462	10	480	1.7e-153	551.6
NC_014760.1_0226	UniRef90_N9TZU5	59.9	574	210	4	1	554	1	574	1.4e-187	665.2
NC_014760.1_0227	UniRef90_Q2SS22	59.7	181	73	0	1	181	1	181	9.2e-55	222.2
NC_014760.1_0230	UniRef90_M9WCS0	58.6	708	279	5	1	700	1	702	1e-236	828.9
NC_014760.1_0231	UniRef90_A0A2N8U2Z5	58.6	384	118	5	7	367	1	366	7.7e-104	386.3
NC_014760.1_0232	UniRef90_A0A014M1E3	56	1077	446	12	1	1064	1	1062	0	1128.2
NC_014760.1_0233	UniRef90_A0A2T4TBH3	60	310	117	2	6	309	3	311	6.6e-106	392.9
