seqname	trim_orf_index_start	trim_orf_index_end	trim_bp_start	trim_bp_end	trim_pr	trim_pr_max	prox_orf_index_start	prox_orf_index_end	prox_bp_start	prox_bp_end	prox_pr	prox_pr_max	partial	full_orf_index_start	full_orf_index_end	full_bp_start	full_bp_end	pr_full	hallmark_cnt	group
ff8823d5-fcdf-4461-adce-206c437041fa	1	2	2	1022	0.973	0.973	1	2	2	1022	NA	NA	0	1	2	2	1022	0.940	0	ssDNA
ff60551d-1d36-41a6-aaf9-fb6b27968973	3	5	977	3240	0.987	0.987	1	7	26	5073	NA	NA	0	1	7	26	5073	0.653	0	lavidaviridae
ff124395-9a30-45ef-9ad2-0a2b7343fa9d	1	7	1	4230	0.967	0.987	1	7	1	4230	NA	NA	0	1	7	1	4230	0.973	1	dsDNAphage
fee24001-8fed-4d7e-a261-f37db79659c6	1	2	99	2009	0.900	0.900	1	2	99	2009	NA	NA	0	1	2	99	2009	0.913	0	ssDNA
fed6e84a-b789-4760-bbdc-6c791137394c	1	12	3	13409	1.000	1.000	1	12	3	13409	NA	NA	0	1	12	3	13409	1.000	5	dsDNAphage
fea8f139-abf2-4b0e-8cbf-cd61d41d441c	1	2	15	745	0.980	0.987	1	4	15	3095	NA	NA	0	1	4	15	3095	0.920	0	ssDNA
fe976dc3-521f-4af3-9964-d277030ebe0d	1	2	1173	9651	0.890	0.890	1	3	1173	10771	NA	NA	0	1	3	1173	10771	0.715	0	RNA
fe83a83c-e154-4d07-b8c0-de841dee94e9	1	3	142	1950	0.850	0.850	1	3	142	1950	NA	NA	0	1	3	142	1950	0.825	0	RNA
fdae6de3-de23-45e1-9841-49d4d1534343	1	2	1	3501	0.595	0.595	1	2	1	3501	NA	NA	0	1	2	1	3501	0.530	0	RNA
fda8d01b-4f95-4aca-aeb3-1b3108ac1b64	1	3	483	2527	0.987	0.987	1	3	483	2527	NA	NA	0	1	3	483	2527	0.947	0	lavidaviridae
fc642219-b190-4da5-891f-331cc8615362	1	4	71	1521	0.973	1.000	1	4	71	1521	NA	NA	0	1	4	71	1521	0.993	0	ssDNA
fbf174f9-fe67-4a30-9b9a-356f3996a3ce	1	2	2	2084	0.960	0.960	1	3	2	2707	NA	NA	0	1	3	2	2707	0.973	0	ssDNA
fb616bda-fe72-432b-bc3e-4c7eae6a5faf	1	10	308	6269	0.987	0.993	1	10	308	6269	NA	NA	0	1	10	308	6269	0.987	0	ssDNA
fb2024aa-a9a7-46d5-8786-8b0ac15bdfca	1	2	233	2172	1.000	1.000	1	2	233	2172	NA	NA	0	1	2	233	2172	1.000	1	dsDNAphage
fabf264f-0829-49b9-b691-6898c10b007b	1	5	3	2594	0.993	1.000	1	5	3	2594	NA	NA	0	1	5	3	2594	1.000	1	dsDNAphage
fa8f41b7-570c-43fc-b627-f5c4195af71c	1	12	3	9589	1.000	1.000	1	12	3	9589	NA	NA	0	1	12	3	9589	1.000	1	dsDNAphage
fa36ffe8-8453-4ec4-b918-dade79fcd377	1	4	110	5060	0.953	0.993	1	4	110	5060	NA	NA	0	1	4	110	5060	0.953	0	lavidaviridae
f9cf9fc2-a3da-42e5-9b94-4ec6639c1785	1	2	1	1166	0.605	0.605	1	2	1	1166	NA	NA	0	1	2	1	1166	0.500	0	RNA
f938f3af-4cdb-44ca-b09f-ed09b7e4f590	1	3	3	1115	0.800	0.800	1	3	3	1115	NA	NA	0	1	3	3	1115	0.785	0	RNA
f9334d5b-5726-4534-a83b-3f2cf138a40d	2	4	1374	2953	0.933	0.933	1	5	1	3318	NA	NA	0	1	5	1	3318	0.980	0	NCLDV
f8f99f27-30cb-4671-a5fe-a7675a2265d9	1	5	77	6339	0.953	1.000	1	5	77	6339	NA	NA	0	1	5	77	6339	0.953	4	dsDNAphage
